head	relation	tail
DB01136	targets	P08913
DB02878	targets	P13716
DB00415	targets	P46059
DB00162	targets	P04798
DB06901	targets	P08217
DB07259	targets	P09960
DB01229	targets	O75469
DB05147	targets	Q9BQE3
DB01274	targets	P11712
DB08262	targets	P68871
DB00594	targets	P37088
DB00313	targets	P23219
DB01392	targets	P08684
DB00126	targets	O75936
DB00747	targets	P20309
DB08241	targets	P24941
DB07131	targets	P07477
DB01623	targets	P05177
DB08463	targets	P20248
DB08772	targets	P15121
DB05157	targets	O15264
DB01419	targets	P35354
DB02062	targets	P08473
DB01065	targets	P03372
DB01618	targets	P14416
DB07530	targets	P11473
DB04946	targets	P05177
DB04050	targets	P02144
DB00921	targets	P10635
DB04760	targets	P45452
DB00876	targets	P30556
DB08690	targets	P47985
DB00334	targets	P47898
DB00295	targets	P06133
DB00130	targets	P22735
DB00738	targets	Q02928
DB03660	targets	P27487
DB08932	targets	P08684
DB00171	targets	Q13564
DB01363	targets	P27338
DB04186	targets	P24941
DB03046	targets	P00749
DB00313	targets	P51649
DB06603	targets	Q969S8
DB01338	targets	P20309
DB05387	targets	P14780
DB08295	targets	P01744
DB01409	targets	P08172
DB08325	targets	Q9HCP0
DB03909	targets	O14983
DB00514	targets	P20813
DB00515	targets	P47989
DB00586	targets	P11712
DB00210	targets	P19793
DB01211	targets	Q9NPD5
DB00541	targets	P68366
DB04079	targets	P08100
DB06262	targets	P00439
DB00870	targets	P16662
DB05223	targets	O15379
DB08235	targets	O15144
DB04842	targets	P28223
DB00570	targets	Q71U36
DB00906	targets	P08684
DB08689	targets	Q99643
DB00753	targets	P28472
DB00629	targets	P05177
DB03695	targets	P00374
DB00072	targets	P11511
DB03158	targets	P32019
DB00268	targets	P14416
DB00175	targets	P11712
DB06772	targets	Q9H4B7
DB00559	targets	P24530
DB01169	targets	P04798
DB00197	targets	P16662
DB04660	targets	P17900
DB04604	targets	P27361
DB07662	targets	P00533
DB00379	targets	P08684
DB00703	targets	P05181
DB00201	targets	P10635
DB00540	targets	P50406
DB01628	targets	P05181
DB00564	targets	P16662
DB00472	targets	P11712
DB00114	targets	Q8IYQ7
DB00321	targets	P50406
DB01288	targets	P07550
DB06216	targets	P28335
DB08515	targets	P25788
DB02482	targets	P17612
DB00752	targets	P11509
DB07401	targets	Q9UDW1
DB01437	targets	Q99928
DB01154	targets	Q14654
DB05080	targets	P35367
DB00864	targets	P24462
DB00071	targets	P29120
DB01049	targets	P28221
DB08500	targets	P11217
DB02395	targets	P15559
DB01028	targets	P14867
DB01283	targets	O60656
DB00413	targets	P18089
DB02429	targets	P00918
DB07212	targets	P03951
DB00756	targets	P00367
DB02871	targets	P00326
DB09078	targets	P22455
DB00472	targets	P10635
DB03456	targets	P43235
DB00060	targets	P17181
DB09028	targets	P36544
DB07859	targets	P17612
DB02527	targets	P10644
DB04920	targets	P08684
DB03096	targets	P07339
DB02106	targets	P10828
DB00898	targets	Q16445
DB00898	targets	P05177
DB04594	targets	P35914
DB00191	targets	P27338
DB08254	targets	P07477
DB00002	targets	P02746
DB03546	targets	P22102
DB08437	targets	P61927
DB00211	targets	P25100
DB00337	targets	P62942
DB00523	targets	P10276
DB00605	targets	P35354
DB00640	targets	P29275
DB02028	targets	P50607
DB06637	targets	P16389
DB00925	targets	P18089
DB05153	targets	P10721
DB00203	targets	P33261
DB07011	targets	P35228
DB01189	targets	Q9UN88
DB00092	targets	O75015
DB04894	targets	P25103
DB08439	targets	P11712
DB02093	targets	P06744
DB08744	targets	P16083
DB04233	targets	P08100
DB01045	targets	P22309
DB00254	targets	P08684
DB04975	targets	P04798
DB00404	targets	Q8N1C3
DB02526	targets	P00749
DB00091	targets	P49069
DB08597	targets	P62942
DB01972	targets	P31939
DB01268	targets	P35968
DB09068	targets	P31645
DB01352	targets	P47869
DB07384	targets	P06576
DB07692	targets	P14618
DB00696	targets	P28223
DB00559	targets	P08684
DB06914	targets	P09601
DB02613	targets	Q02127
DB00294	targets	P08684
DB00201	targets	Q14432
DB01589	targets	P47869
DB08901	targets	P16234
DB07724	targets	Q15788
DB00157	targets	Q16878
DB01026	targets	P33261
DB00914	targets	Q15842
DB03338	targets	Q03181
DB03702	targets	Q9UNI1
DB00175	targets	P08684
DB05785	targets	P05412
DB00586	targets	P35499
DB00674	targets	P06276
DB00129	targets	P54368
DB00920	targets	Q08499
DB01708	targets	Q12879
DB01285	targets	Q07973
DB00248	targets	P35348
DB04178	targets	P17213
DB00656	targets	P28335
DB00546	targets	P08684
DB01068	targets	P18507
DB01624	targets	P08913
DB07954	targets	Q13370
DB01752	targets	P11086
DB06706	targets	P35348
DB01234	targets	P11511
DB07297	targets	P06239
DB08546	targets	P00734
DB08868	targets	Q9NYA1
DB00127	targets	P52788
DB00526	targets	P09488
DB00604	targets	Q13639
DB08885	targets	P49765
DB08271	targets	P09238
DB00794	targets	P08684
DB01229	targets	P10632
DB00908	targets	P04798
DB00974	targets	P05177
DB05492	targets	P41146
DB04163	targets	Q86XF0
DB05651	targets	Q13547
DB04924	targets	P14416
DB00501	targets	P33261
DB00725	targets	P11229
DB01303	targets	P27815
DB08688	targets	Q9NPJ3
DB01244	targets	P10635
DB07791	targets	P24941
DB01008	targets	P08684
DB08437	targets	Q9UHA3
DB02266	targets	P10275
DB03064	targets	Q9UJM8
DB07837	targets	O00141
DB01365	targets	P08913
DB00321	targets	Q99720
DB00907	targets	P08684
DB00758	targets	P11712
DB08890	targets	P25092
DB01594	targets	P18505
DB06712	targets	P05177
DB00370	targets	P35462
DB00290	targets	Q13867
DB00842	targets	P78334
DB00734	targets	P18089
DB05266	targets	Q07343
DB01281	targets	P42081
DB01352	targets	P36544
DB00285	targets	P20813
DB04077	targets	O43252
DB00721	targets	Q92952
DB00656	targets	P35367
DB03847	targets	P02818
DB00615	targets	P08684
DB01215	targets	P28472
DB02692	targets	P29475
DB00284	targets	O43451
DB04444	targets	O14983
DB03273	targets	P23526
DB04197	targets	P05089
DB00786	targets	Q99542
DB00020	targets	P32927
DB08827	targets	P08684
DB04861	targets	P07550
DB09033	targets	P13612
DB03354	targets	P11217
DB07258	targets	P09960
DB07401	targets	P08574
DB04109	targets	P35030
DB08521	targets	Q16539
DB03092	targets	P04746
DB03650	targets	P11309
DB00257	targets	P05108
DB09049	targets	P10635
DB01175	targets	P10635
DB00184	targets	P33261
DB01009	targets	P25024
DB09031	targets	Q13393
DB00166	targets	Q9Y289
DB00381	targets	P08684
DB07740	targets	Q01581
DB00143	targets	Q7RTV2
DB00495	targets	P08684
DB02942	targets	Q15075
DB08895	targets	P33261
DB07380	targets	P17538
DB00396	targets	P24462
DB05087	targets	P34903
DB01274	targets	P33261
DB00716	targets	Q9NS75
DB01028	targets	P18507
DB00514	targets	Q15080
DB06148	targets	P50406
DB00457	targets	P04798
DB00418	targets	Q8TCU5
DB02506	targets	P63151
DB08198	targets	P52732
DB00379	targets	P35869
DB00588	targets	P47712
DB00777	targets	P14416
DB00082	targets	P15104
DB07401	targets	P14927
DB08499	targets	P42574
DB01558	targets	P47869
DB06273	targets	P08887
DB01439	targets	P41143
DB06959	targets	P61925
DB04256	targets	Q13255
DB03866	targets	P35354
DB00945	targets	Q9UGI9
DB00127	targets	P21673
DB00095	targets	P02746
DB01463	targets	Q01959
DB05492	targets	P28223
DB06698	targets	Q9Y5N1
DB00243	targets	P10635
DB00277	targets	P00813
DB04868	targets	P20813
DB00397	targets	P35348
DB00358	targets	P29274
DB08651	targets	Q02880
DB00624	targets	P11511
DB00128	targets	Q6PI48
DB07879	targets	P56524
DB07558	targets	O14818
DB00128	targets	P27708
DB00425	targets	P33261
DB05035	targets	P10828
DB04395	targets	P11309
DB00572	targets	P08912
DB00956	targets	P10635
DB01351	targets	P14867
DB08489	targets	P09237
DB04840	targets	P23975
DB04889	targets	P10635
DB07032	targets	Q92731
DB01174	targets	P05177
DB02709	targets	P23219
DB05675	targets	P02671
DB01056	targets	Q14524
DB00157	targets	P30838
DB01594	targets	Q8N1C3
DB01179	targets	P08684
DB09068	targets	P11509
DB00526	targets	P15559
DB04509	targets	P23141
DB00392	targets	Q8TCU5
DB03494	targets	P07477
DB01435	targets	P35354
DB00114	targets	P00505
DB07250	targets	P54760
DB07853	targets	Q9P289
DB00450	targets	P35348
DB00248	targets	P14416
DB08875	targets	P11712
DB08756	targets	P17612
DB06267	targets	P20815
DB00166	targets	P16435
DB00228	targets	Q09470
DB00699	targets	P10635
DB06911	targets	P00734
DB00227	targets	P20701
DB04552	targets	P23219
DB05003	targets	P23921
DB01087	targets	P04798
DB00549	targets	P11712
DB00328	targets	P11712
DB04899	targets	P20594
DB03088	targets	P04745
DB07807	targets	P11217
DB08818	targets	O14594
DB01041	targets	P05181
DB03879	targets	P11226
DB02341	targets	Q9UNI1
DB04855	targets	O00305
DB00308	targets	Q13936
DB05708	targets	P05177
DB00129	targets	P00480
DB00334	targets	P08172
DB01028	targets	P48169
DB08183	targets	P23458
DB00480	targets	P35354
DB05087	targets	P47869
DB04632	targets	Q16539
DB00131	targets	Q9NUB1
DB01239	targets	P11229
DB07221	targets	O95749
DB01049	targets	P30939
DB00690	targets	P31644
DB01236	targets	P11509
DB06983	targets	P24941
DB00818	targets	P22309
DB00935	targets	P25100
DB04682	targets	P02585
DB01049	targets	P21728
DB00306	targets	P42262
DB02057	targets	P42262
DB00399	targets	O95749
DB02726	targets	P13929
DB08133	targets	P24941
DB00171	targets	Q07912
DB06637	targets	Q92953
DB00248	targets	P34969
DB00371	targets	O14764
DB08707	targets	P11309
DB00630	targets	P38606
DB00217	targets	P08588
DB00600	targets	P14679
DB00412	targets	O60488
DB04203	targets	P00918
DB00280	targets	Q14524
DB01725	targets	P07477
DB01159	targets	O14649
DB00246	targets	P28566
DB01151	targets	P11509
DB00986	targets	P11229
DB09052	targets	P15391
DB00312	targets	Q13002
DB01023	targets	P54289
DB01050	targets	P11712
DB02116	targets	P06493
DB00311	targets	P43166
DB00546	targets	A8MPY1
DB02226	targets	P22303
DB03010	targets	P68366
DB08799	targets	P35367
DB00246	targets	P28335
DB05066	targets	P01584
DB07190	targets	P00734
DB05147	targets	Q9BVA1
DB06711	targets	P08913
DB01049	targets	P18089
DB00761	targets	Q9UP95
DB01154	targets	P11712
DB01612	targets	P16066
DB01181	targets	P08684
DB01790	targets	P10644
DB00701	targets	P10632
DB02744	targets	P07477
DB02482	targets	O14965
DB01280	targets	P27707
DB01184	targets	P10632
DB07690	targets	Q7Z2Z2
DB08418	targets	P00918
DB03814	targets	Q8IWL2
DB00036	targets	P08709
DB00622	targets	P33261
DB00477	targets	P35367
DB01128	targets	P10275
DB01224	targets	P14416
DB07574	targets	Q71U36
DB04644	targets	P11217
DB09068	targets	P34969
DB07130	targets	P18031
DB00246	targets	P46098
DB00328	targets	P37231
DB07180	targets	P51955
DB08782	targets	P00918
DB04027	targets	P06732
DB00604	targets	P10635
DB01126	targets	P20815
DB01549	targets	P14416
DB04743	targets	P02788
DB00197	targets	P05121
DB07186	targets	O14965
DB00835	targets	P10632
DB00640	targets	P29274
DB04350	targets	Q13231
DB01261	targets	P10632
DB01622	targets	P14416
DB06779	targets	P15692
DB07922	targets	P39900
DB00197	targets	O60488
DB00317	targets	P00533
DB00674	targets	P07510
DB02482	targets	P50613
DB00041	targets	P31785
DB07835	targets	Q16539
DB00418	targets	P11712
DB00850	targets	P10635
DB00909	targets	O95180
DB00246	targets	P08684
DB00514	targets	P14598
DB01144	targets	P22748
DB00898	targets	P23415
DB01623	targets	P28223
DB01419	targets	P23219
DB03444	targets	P49841
DB03147	targets	Q9UKU7
DB06727	targets	P10635
DB01149	targets	P35368
DB03845	targets	P23919
DB00468	targets	P11712
DB02726	targets	P09104
DB08398	targets	Q15596
DB07217	targets	P53779
DB01171	targets	P21397
DB03297	targets	P04179
DB01520	targets	O60391
DB03461	targets	Q08257
DB07198	targets	Q92731
DB07903	targets	P53582
DB06643	targets	O14788
DB01028	targets	O14764
DB08896	targets	P29317
DB06900	targets	Q16651
DB00116	targets	P42898
DB00661	targets	P24462
DB01065	targets	P04798
DB02486	targets	P08263
DB07696	targets	P42574
DB00287	targets	P43088
DB00543	targets	P08908
DB01567	targets	P47870
DB01087	targets	P16083
DB00744	targets	P05177
DB00477	targets	P19652
DB05383	targets	P15121
DB00661	targets	Q9P0X4
DB07346	targets	P56817
DB05216	targets	P16234
DB00861	targets	P35354
DB00768	targets	P35367
DB02016	targets	P48449
DB01351	targets	P36544
DB01053	targets	Q8TCC7
DB01185	targets	P04150
DB02824	targets	P11926
DB05472	targets	P48551
DB00333	targets	P10632
DB01353	targets	Q16445
DB01365	targets	P08588
DB01558	targets	P05181
DB02659	targets	P14854
DB04716	targets	O43293
DB00119	targets	P30613
DB00818	targets	P11509
DB00829	targets	P10632
DB00661	targets	O43497
DB00201	targets	Q13315
DB00115	targets	P22033
DB00642	targets	Q99808
DB00150	targets	Q9UGM6
DB00151	targets	P32929
DB00172	targets	Q53H96
DB01262	targets	P26358
DB01594	targets	Q99928
DB07724	targets	Q07869
DB00622	targets	P08684
DB03841	targets	P47989
DB03247	targets	O75676
DB08349	targets	Q16539
DB01761	targets	Q16539
DB01141	targets	P21964
DB08806	targets	P25021
DB00231	targets	P18505
DB00170	targets	P47989
DB00421	targets	P18405
DB01097	targets	P11712
DB00909	targets	P21397
DB02035	targets	P50897
DB03918	targets	P29474
DB00696	targets	P08684
DB00657	targets	Q15822
DB01754	targets	P11309
DB05066	targets	P39905
DB00747	targets	P08173
DB00713	targets	P46059
DB01452	targets	P41143
DB01628	targets	P10635
DB00640	targets	P30542
DB04799	targets	O14957
DB08301	targets	P00918
DB00087	targets	P12314
DB00306	targets	O14764
DB07956	targets	Q9UNI1
DB03401	targets	Q99418
DB04355	targets	P46976
DB00055	targets	Q9UNN8
DB00231	targets	O14764
DB00734	targets	P08908
DB07252	targets	P54760
DB00517	targets	P08172
DB00370	targets	P08913
DB00306	targets	P34903
DB04077	targets	Q9NPH2
DB00543	targets	Q01959
DB08617	targets	P54577
DB00189	targets	P34903
DB00608	targets	P08684
DB01114	targets	P24462
DB00145	targets	Q6IB77
DB07376	targets	P00734
DB00402	targets	P78334
DB00571	targets	P04798
DB00627	targets	P40261
DB00292	targets	P31644
DB00628	targets	Q99928
DB04894	targets	P30874
DB07514	targets	P35968
DB08409	targets	P01857
DB00140	targets	P21397
DB01231	targets	P08172
DB00285	targets	P08684
DB02471	targets	P11217
DB00360	targets	P00439
DB07458	targets	P17612
DB05253	targets	P06401
DB06366	targets	P04626
DB08183	targets	P29597
DB00422	targets	Q01959
DB00145	targets	P34897
DB04055	targets	P11217
DB00586	targets	P16662
DB01232	targets	P24462
DB00092	targets	P12318
DB08816	targets	P08684
DB00940	targets	P25021
DB00946	targets	P08684
DB02110	targets	P99999
DB03501	targets	P16442
DB06204	targets	P31645
DB06853	targets	P07477
DB02977	targets	P18031
DB01136	targets	P10635
DB00193	targets	P31645
DB06697	targets	P08684
DB00273	targets	Q8N1C3
DB00139	targets	Q9BZW2
DB06228	targets	P20815
DB07340	targets	Q96GD4
DB00328	targets	Q04760
DB00625	targets	P08684
DB01062	targets	P08172
DB00635	targets	P08684
DB00440	targets	P08684
DB00976	targets	P08684
DB01069	targets	P08912
DB01424	targets	P33261
DB01159	targets	P28472
DB01224	targets	P18089
DB02068	targets	P13716
DB02935	targets	P14625
DB00545	targets	P22303
DB00047	targets	P05177
DB00537	targets	P05177
DB00136	targets	Q07973
DB07909	targets	P01857
DB08820	targets	P13569
DB00252	targets	P10632
DB00757	targets	P46098
DB02098	targets	P12724
DB04137	targets	P10114
DB01189	targets	P78334
DB00869	targets	P00915
DB01844	targets	P00797
DB01136	targets	Q12809
DB00123	targets	P52569
DB01403	targets	P28335
DB04795	targets	P31040
DB00145	targets	Q969I3
DB00918	targets	P08684
DB01023	targets	Q01064
DB00054	targets	P31995
DB04953	targets	P22310
DB08004	targets	Q8TF76
DB01240	targets	Q9H244
DB03828	targets	P12931
DB07357	targets	P16442
DB01972	targets	Q16774
DB06204	targets	P11712
DB00459	targets	P13631
DB00748	targets	P20813
DB00208	targets	P04798
DB01966	targets	P07602
DB07320	targets	O14757
DB00138	targets	Q07837
DB00842	targets	P47870
DB09078	targets	P22607
DB08896	targets	P21802
DB01558	targets	P48169
DB04326	targets	P05062
DB00056	targets	P08637
DB00916	targets	P10632
DB00436	targets	P55017
DB00157	targets	P29803
DB05913	targets	P10721
DB00968	targets	P08913
DB00513	targets	P00750
DB00157	targets	O95139
DB00184	targets	Q05901
DB01363	targets	Q05940
DB00145	targets	Q9Y345
DB08655	targets	Q92793
DB00370	targets	P10632
DB07716	targets	P01834
DB02306	targets	Q9UKL6
DB00201	targets	Q01064
DB00257	targets	P05177
DB07113	targets	P00797
DB01296	targets	P14780
DB00583	targets	P05164
DB04272	targets	P15086
DB04920	targets	P11712
DB00546	targets	P47869
DB01049	targets	P35368
DB07375	targets	P01857
DB00379	targets	P05181
DB03737	targets	P24941
DB00128	targets	Q9UJS0
DB00431	targets	P48167
DB00594	targets	P51170
DB08214	targets	P35228
DB00157	targets	P28845
DB00690	targets	Q99928
DB00030	targets	Q96C24
DB00818	targets	P28472
DB01364	targets	P23975
DB00371	targets	Q16445
DB01392	targets	P28222
DB05168	targets	P41439
DB02153	targets	P32119
DB06103	targets	P12268
DB00404	targets	O14764
DB00824	targets	P27815
DB07757	targets	Q92731
DB00420	targets	P11712
DB04009	targets	P00167
DB00342	targets	P08684
DB00921	targets	P20815
DB05883	targets	P01270
DB02152	targets	P08581
DB03451	targets	P11473
DB00277	targets	P04798
DB02377	targets	P30793
DB01254	targets	Q16678
DB01067	targets	P11712
DB01198	targets	P30536
DB02499	targets	P05089
DB06070	targets	P08238
DB06779	targets	Q9Y251
DB02379	targets	Q6UWM7
DB02750	targets	Q7Z2Z2
DB00721	targets	P06276
DB00734	targets	P35368
DB01068	targets	P31644
DB02546	targets	Q9BY41
DB04639	targets	P01857
DB08043	targets	P00519
DB07857	targets	P61925
DB07374	targets	P62750
DB04930	targets	P35498
DB01236	targets	Q9UN88
DB01587	targets	P78334
DB04077	targets	P00325
DB04327	targets	Q9UNN8
DB00726	targets	P10635
DB01107	targets	P18507
DB00157	targets	P14060
DB00537	targets	P11388
DB05260	targets	P21281
DB00580	targets	O60656
DB00343	targets	P10632
DB00398	targets	P17948
DB00401	targets	P54289
DB01273	targets	P43681
DB00401	targets	Q13698
DB00589	targets	P18825
DB01041	targets	P19652
DB07845	targets	P45983
DB08896	targets	P35916
DB04315	targets	P63000
DB00462	targets	P20309
DB00505	targets	P08172
DB00712	targets	P23219
DB01079	targets	P10635
DB00241	targets	O00591
DB02740	targets	P61769
DB01244	targets	O00555
DB03633	targets	P04054
DB00338	targets	P04798
DB04877	targets	P08183
DB05492	targets	P08913
DB05155	targets	P41145
DB01393	targets	Q03181
DB00454	targets	P20309
DB01189	targets	Q16445
DB08901	targets	P10632
DB00117	targets	P19113
DB09079	targets	P12931
DB00401	targets	Q13936
DB04381	targets	P05091
DB00171	targets	P25098
DB07994	targets	P56817
DB05111	targets	P01579
DB00141	targets	P54802
DB08507	targets	P08254
DB08400	targets	O00519
DB04338	targets	Q16539
DB00200	targets	P20061
DB08929	targets	P56817
DB00590	targets	P33261
DB00338	targets	P05108
DB00122	targets	P49585
DB01237	targets	P35367
DB00882	targets	P05108
DB04465	targets	Q7Z4J2
DB00071	targets	P01920
DB00835	targets	P11712
DB03519	targets	P00480
DB07401	targets	P31930
DB00404	targets	Q9UN88
DB00795	targets	O14920
DB00675	targets	P24462
DB01361	targets	P10632
DB01028	targets	P05181
DB02101	targets	P15121
DB07264	targets	P28482
DB00338	targets	P20648
DB00204	targets	Q12809
DB00402	targets	P14867
DB08870	targets	P28908
DB00898	targets	Q9Y698
DB00613	targets	P50135
DB01764	targets	P08684
DB00656	targets	P10635
DB04491	targets	P00751
DB00578	targets	P47712
DB00458	targets	P11229
DB00612	targets	P10635
DB06701	targets	Q01959
DB08399	targets	P06576
DB08139	targets	P24941
DB00602	targets	P08684
DB04463	targets	P16152
DB00128	targets	P00966
DB00321	targets	P35372
DB01762	targets	P16930
DB06944	targets	P20248
DB00145	targets	Q14957
DB00171	targets	P08183
DB00818	targets	O60656
DB01583	targets	P10827
DB01576	targets	P23975
DB03636	targets	P22894
DB08896	targets	P10721
DB00031	targets	P05452
DB08897	targets	P11229
DB00397	targets	P21397
DB01119	targets	Q12791
DB01118	targets	P08588
DB07908	targets	P07737
DB00850	targets	P20813
DB01159	targets	Q99928
DB00606	targets	P00915
DB03227	targets	Q96T66
DB00160	targets	P43007
DB00401	targets	P24462
DB03223	targets	P13639
DB00257	targets	P11712
DB00228	targets	P47870
DB00974	targets	Q15166
DB00025	targets	P04070
DB07830	targets	P27487
DB06077	targets	P28223
DB02261	targets	P17900
DB02647	targets	P24941
DB01559	targets	P18507
DB00898	targets	P42261
DB04318	targets	P24347
DB05044	targets	P06737
DB00899	targets	P35372
DB00741	targets	P19099
DB02772	targets	Q9Y3I0
DB00289	targets	Q05586
DB04003	targets	P06239
DB00814	targets	P52209
DB02894	targets	P00918
DB00195	targets	P10635
DB00726	targets	P08172
DB05464	targets	P19838
DB09202	targets	P18089
DB01988	targets	Q16539
DB04797	targets	Q16539
DB01812	targets	P10153
DB01170	targets	P23975
DB01142	targets	P28223
DB00313	targets	Q99250
DB01127	targets	P08684
DB04953	targets	P56696
DB00312	targets	Q99928
DB00720	targets	P35354
DB00897	targets	P14867
DB00672	targets	P11712
DB00659	targets	P28472
DB04724	targets	P20701
DB06943	targets	P78536
DB06262	targets	P20711
DB01436	targets	O15528
DB00246	targets	P05177
DB01989	targets	Q9Y6L7
DB03796	targets	O43617
DB00238	targets	P05177
DB00540	targets	P35348
DB02558	targets	P08473
DB01072	targets	P08684
DB04716	targets	O60674
DB05050	targets	P41143
DB00673	targets	P33261
DB04395	targets	Q02880
DB00321	targets	P33261
DB00570	targets	Q9UJT0
DB00091	targets	P20815
DB00650	targets	P04818
DB07476	targets	P00918
DB03921	targets	P36897
DB09036	targets	P05231
DB01039	targets	O43923
DB00907	targets	P24462
DB01142	targets	P23975
DB00241	targets	Q8N1C3
DB00943	targets	P24462
DB01186	targets	P21917
DB06779	targets	P01008
DB03127	targets	Q9Y5Y6
DB00446	targets	P10632
DB00914	targets	Q13131
DB08330	targets	O14949
DB00899	targets	P41143
DB00604	targets	P11712
DB00714	targets	P08908
DB00673	targets	P11712
DB01520	targets	Q14957
DB03186	targets	P07998
DB02407	targets	P20248
DB04851	targets	Q9UNQ0
DB04946	targets	P35367
DB00282	targets	P14324
DB04150	targets	P19021
DB05003	targets	P31350
DB05412	targets	Q16539
DB00067	targets	P47901
DB00318	targets	P20815
DB00412	targets	P10635
DB00813	targets	P08684
DB08810	targets	Q13639
DB08231	targets	P41235
DB00126	targets	Q32P28
DB04805	targets	P61927
DB00313	targets	P33261
DB00481	targets	P03372
DB00703	targets	P08684
DB00778	targets	P08684
DB00863	targets	P25021
DB03379	targets	P60174
DB04395	targets	P23677
DB00704	targets	P41145
DB04281	targets	Q02127
DB00203	targets	P11712
DB00122	targets	Q9Y5K3
DB08049	targets	P21964
DB00241	targets	P28472
DB00321	targets	P10632
DB07086	targets	P03372
DB01282	targets	P30559
DB00334	targets	P14416
DB07866	targets	P28845
DB00458	targets	P25100
DB02325	targets	Q13231
DB00321	targets	P25021
DB01236	targets	P28472
DB00112	targets	P00736
DB07083	targets	P00734
DB01028	targets	P08684
DB04889	targets	P14416
DB01693	targets	P12268
DB01224	targets	P18825
DB00468	targets	P14770
DB00685	targets	P11388
DB01864	targets	P62330
DB04657	targets	P31040
DB00543	targets	P18507
DB04888	targets	P14416
DB05475	targets	Q9NYK1
DB01558	targets	P78334
DB03784	targets	P14555
DB01239	targets	P28223
DB08015	targets	P53779
DB00327	targets	P11712
DB00436	targets	P00915
DB00661	targets	P54284
DB00381	targets	Q13936
DB01472	targets	P08913
DB04871	targets	P10635
DB00100	targets	P00742
DB01110	targets	P29474
DB00160	targets	Q16719
DB01087	targets	P10635
DB00669	targets	P30939
DB01576	targets	P35348
DB00323	targets	P21964
DB00641	targets	P20813
DB02931	targets	Q16613
DB00892	targets	Q9Y5Y9
DB01577	targets	Q01959
DB07563	targets	P43235
DB00197	targets	P11511
DB00696	targets	P08908
DB02329	targets	P28845
DB08602	targets	Q13946
DB05814	targets	P62942
DB06738	targets	Q14957
DB00342	targets	P11229
DB00482	targets	P10635
DB01244	targets	O95180
DB00015	targets	P00747
DB00613	targets	P04798
DB02681	targets	P61024
DB08361	targets	P43405
DB08813	targets	P01106
DB00477	targets	P08684
DB00731	targets	O60656
DB00656	targets	P35348
DB00197	targets	P33261
DB00949	targets	Q8TCU5
DB03740	targets	P01857
DB04866	targets	P08253
DB09014	targets	P28335
DB00622	targets	P25100
DB07024	targets	P24941
DB02869	targets	P43235
DB08412	targets	P01857
DB00636	targets	Q07869
DB01601	targets	P33261
DB00268	targets	P08908
DB00054	targets	O75015
DB01041	targets	P19838
DB01046	targets	P51788
DB08093	targets	Q16539
DB08912	targets	Q8NG66
DB01049	targets	P28223
DB01115	targets	P05181
DB07897	targets	P00734
DB01108	targets	P26439
DB00819	targets	P22748
DB01007	targets	P05177
DB02727	targets	P29475
DB00160	targets	P24298
DB07266	targets	O14965
DB00201	targets	Q13370
DB00801	targets	Q99928
DB03176	targets	P10827
DB00131	targets	P16220
DB00216	targets	P08908
DB00723	targets	P35368
DB07855	targets	P17612
DB01270	targets	P15692
DB00339	targets	P47989
DB00864	targets	P20815
DB00723	targets	P25100
DB01567	targets	Q99928
DB04905	targets	P08684
DB03461	targets	Q13423
DB08450	targets	P36897
DB04464	targets	P00403
DB00572	targets	P20309
DB00213	targets	P20648
DB00463	targets	P48169
DB00548	targets	P51857
DB00909	targets	P07451
DB00783	targets	P08684
DB02740	targets	P01892
DB04142	targets	P18031
DB04828	targets	P08684
DB00069	targets	P48551
DB00112	targets	P02747
DB01076	targets	P20815
DB03754	targets	P17707
DB05421	targets	P25103
DB06268	targets	P11712
DB00468	targets	P24462
DB00157	targets	O43175
DB00409	targets	P28223
DB00321	targets	P10635
DB00268	targets	P08913
DB03443	targets	P07477
DB01378	targets	P05023
DB07323	targets	P50579
DB00799	targets	P13631
DB00142	targets	P49915
DB01224	targets	P08684
DB00142	targets	Q8N159
DB01559	targets	Q99928
DB00428	targets	P05181
DB01349	targets	P50052
DB03496	targets	P50613
DB01392	targets	P28221
DB04754	targets	P00491
DB03783	targets	P04798
DB04855	targets	P08588
DB01088	targets	P43119
DB08435	targets	P37231
DB04530	targets	P05089
DB04926	targets	Q8TCU5
DB05241	targets	P48736
DB08804	targets	P27338
DB00972	targets	P05177
DB00139	targets	O15460
DB07821	targets	Q13093
DB02091	targets	P24941
DB00408	targets	P35368
DB07369	targets	P08581
DB07942	targets	Q16539
DB00087	targets	O75015
DB01205	targets	P47870
DB07639	targets	P00734
DB08468	targets	P68400
DB03880	targets	P22894
DB01640	targets	Q13370
DB00013	targets	Q9Y5Y6
DB05066	targets	P22301
DB01333	targets	P08684
DB00998	targets	P28221
DB04404	targets	Q13231
DB01184	targets	P35462
DB00313	targets	Q07699
DB00266	targets	P15559
DB00157	targets	O00483
DB00381	targets	P20815
DB00184	targets	Q15825
DB00273	targets	P47869
DB05492	targets	P41595
DB01198	targets	P23219
DB08040	targets	P09960
DB02548	targets	P06744
DB09079	targets	P11362
DB01472	targets	P27338
DB01107	targets	Q16445
DB06589	targets	P17948
DB00342	targets	P35367
DB01207	targets	P24557
DB08035	targets	P10275
DB00475	targets	P78334
DB00376	targets	P08173
DB01105	targets	P08684
DB07930	targets	Q15067
DB05407	targets	P05305
DB01023	targets	P08235
DB03507	targets	P19438
